post,topic,audience
"With the best minds in science, we’re taking on the toughest health challenges to deliver medicines of tomorrow.",company announcement // motivation & support,all
"Every day, we work to solve the toughest health challenges and uncover new medicines that’ll make a real impact.",company announcement // motivation & support,all
"From groundbreaking research to innovative solutions, we’re always working towards developing new medicines for patients.",company announcement // research & publication,all
"At AbbVie, every day is an opportunity for us to discover and develop new medicines for a healthier tomorrow.",company announcement // conferences & outreach,all
"At AbbVie, every day is an opportunity for us to discover and develop new medicines for a healthier tomorrow.",company announcement // conferences & outreach,all
"With patients at the heart of everything we do, we’ll never stop pursuing new treatment options for a healthier tomorrow.",company announcement // motivation & support,all
How can we create a healthier tomorrow? By investing in science and research to discover new medicines today.,company announcement // other,all
Every patient deserves treatment options. That's why our teams work tirelessly towards developing new medicines.,company announcement // motivation & support,all
"At AbbVie, we work tirelessly with a common goal in mind: to discover new medicines that can improve patients’ lives.",company announcement // motivation & support,all
"@BarbaraHowanie1 Hi @BarbaraHowanie1, we saw your tweet and would like to connect. Can you DM us with more information?",company announcement // other,all
"Next week, around 15,000 of us will unite for a single purpose: to give back to local communities. Learn what fuels our people’s passion for service and how we’ll make a difference this year. https://t.co/vQkeHAQcYR #AbbVieGivesBack https://t.co/Q4LNoGb0XH",company announcement // other,all
Proud to partner with @UNCF on its Healthcare Workforce Diversity Program supporting #scholarships for Black individuals interested in #healthcare careers.,partnership // general disease info / awareness,all
"This #PrideMonth, get to know our PRIDE employee resource group. See the impact they’re making while encouraging all LGBTQIA+ employees and allies to bring their whole, authentic selves to work: https://t.co/4ZuM0CryNL #BelongAtAbbVie https://t.co/752PGcvyWT",company announcement // other,all
"On #Juneteenth, we honor this important day and its history through our focus on creating a culture of #inclusion that values treating everyone with dignity and respect. See how: https://t.co/C2v5cPUbxo https://t.co/iQDWypLiMy",company announcement // other,all
"@nursepeggy18 Hi @nursepeggy18, we saw your tweet and would like to connect. Can you DM us with more information?",company announcement // other,all
"For decades, our researchers have been striving to help people with migraine disease. Hear more from our own Brett Dabruzzo about the impact of migraine on her life: https://t.co/nVa8qBG3jX #MHAM2022 https://t.co/Qapiifdvk5",company announcement // general disease info / awareness,all
Reminder to all Midwest-based #biotechs: Apply today for the AbbVie Innovation Midwest award for a chance to receive seed funding and take your #research to the next level: https://t.co/wxtV27mABL https://t.co/bJUIX6yFlS,company announcement // conferences & outreach,all
"@nerdynellly Hello, @nerdynellly. Thank you for reaching out. You can contact 1.800.448.6472 and select phone prompts 3 and 4 to register and connect with an ambassador for assistance.",company announcement // other,all
"#Migraine is more than just a headache. During #MHAM2022, learn about our research and how we’re helping those navigating this complex disease. https://t.co/nvWSlB34Ir https://t.co/mRfUMtjGTM",company announcement // research & publication,all
"For Sanjay Narayan, our chief ethics and compliance officer, being a good leader starts with being true to yourself. Learn about his unique approach to #leadership: https://t.co/gKERFTVxKk #WednesdayWisdom https://t.co/uYxKsbWyLu",company announcement // new hire / employee update,all
#EHA2022 has come to a close. It was great attending this year and sharing our latest research from our #oncology portfolio and pipeline. https://t.co/rYzvFR8skk,partnership // research & publication,all
"During the Presidential Symposium at #EHA2022, in collaboration with @Genmab, we presented late-breaking data from our investigational Phase 2 trial in patients with relapsed/refractory large B-cell lymphoma (#LBCL). Learn more: https://t.co/o58uWHE4vs https://t.co/ScRYJT0H9X",company announcement // research & publication,all
"@reneta0611 Hi @reneta0611, we saw your tweet. So we can better help, please follow us so we can DM with more information.",partnership // other,all
"NEWS: Join us at #EHA2022, where we’re sharing preliminary findings of our investigational therapy for #myelofibrosis. More: https://t.co/ElmVgPBLRy https://t.co/nLehjZu7CC",company announcement // clinical trial,all
"Today, at #EHA2022, we announced five-year follow-up data from a Phase 3 study in CLL patients: https://t.co/98KuhK8LHM https://t.co/BpVNVIu8yv",company announcement // research & publication,all
Today marks an important day in the road to #HCV elimination. We’re convening a panel discussion at the #WorldHepatitisSummit. Learn more: https://t.co/ahln6aEc7G https://t.co/Bith5cAfA7,company announcement // conferences & outreach,all
"During #AHSAM22, we’ll share a breadth of new data across our #migraine portfolio as we continue to make strides delivering innovative solutions for patients. Read about our work: https://t.co/xxfDsKMlIU https://t.co/xgdy5KeppN",partnership // research & publication,all
"At #EHA2022, we’re presenting data from investigational studies in #BloodCancer. Discover our latest #hematology research, including chronic lymphocytic leukemia (CLL) and acute myeloid leukemia (AML): https://t.co/oLkBgBYH55 https://t.co/LGrGnASmSS",company announcement // research & publication,all
"@annackalisz Thank you for reaching out to us, Anna. We understand the challenges our patients face and we are here to help. MyAbbVie Assist, our patient assistance program, may have the information you need. Visit: https://t.co/9f0CelRAl8.",partnershiphip / organizational update // general disease info / awareness,all
"Before joining AbbVie, Sanjay Narayan was on a path to join the FBI. Here’s why he pivoted #careers to work in pharma: https://t.co/J4yujrHAl4 https://t.co/aR5q2baPSM",company announcement // new hire / employee update,all
